2025-12-27 19:43:35.199 [info] Reading sessions from keychain...
2025-12-27 19:43:35.199 [info] Getting sessions for all scopes...
2025-12-27 19:43:35.209 [info] Got stored sessions!
2025-12-27 19:43:35.209 [info] Got 1 verified sessions.
2025-12-27 19:43:35.209 [info] Got 1 sessions for ...
2025-12-27 19:43:35.209 [info] Getting sessions for all scopes...
2025-12-27 19:43:35.209 [info] Got 1 sessions for ...
2025-12-27 19:43:35.209 [info] Getting sessions for all scopes...
2025-12-27 19:43:35.209 [info] Got 1 sessions for ...
2025-12-27 19:43:35.209 [info] Getting sessions for all scopes...
2025-12-27 19:43:35.209 [info] Got 1 sessions for ...
2025-12-27 19:43:35.209 [info] Getting sessions for all scopes...
2025-12-27 19:43:35.209 [info] Got 1 sessions for ...
2025-12-27 19:43:35.209 [info] Getting sessions for all scopes...
2025-12-27 19:43:35.209 [info] Got 1 sessions for ...
2025-12-27 19:43:35.209 [info] Getting sessions for all scopes...
2025-12-27 19:43:35.209 [info] Got 1 sessions for ...
2025-12-27 19:43:35.209 [info] Getting sessions for all scopes...
2025-12-27 19:43:35.209 [info] Got 1 sessions for ...
2025-12-27 19:43:35.247 [info] Getting sessions for all scopes...
2025-12-27 19:43:35.247 [info] Got 1 sessions for ...
2025-12-27 19:43:35.247 [info] Getting sessions for all scopes...
2025-12-27 19:43:35.247 [info] Got 1 sessions for ...
2025-12-27 19:43:35.247 [info] Getting sessions for all scopes...
2025-12-27 19:43:35.247 [info] Got 1 sessions for ...
2025-12-27 19:43:35.247 [info] Getting sessions for all scopes...
2025-12-27 19:43:35.247 [info] Got 1 sessions for ...
2025-12-27 19:43:35.247 [info] Getting sessions for all scopes...
2025-12-27 19:43:35.247 [info] Got 1 sessions for ...
2025-12-27 19:43:35.247 [info] Getting sessions for all scopes...
2025-12-27 19:43:35.247 [info] Got 1 sessions for ...
2025-12-27 19:43:37.221 [info] Getting sessions for all scopes...
2025-12-27 19:43:37.221 [info] Got 1 sessions for ...
2025-12-27 19:44:08.157 [info] Reading sessions from keychain...
2025-12-27 19:44:08.157 [info] Got stored sessions!
2025-12-27 19:44:08.157 [info] Got 1 verified sessions.
2025-12-27 19:44:08.157 [info] Getting sessions for all scopes...
2025-12-27 19:44:08.157 [info] Got 1 sessions for ...
2025-12-27 19:44:08.157 [info] Getting sessions for all scopes...
2025-12-27 19:44:08.157 [info] Got 1 sessions for ...
2025-12-27 19:44:08.157 [info] Getting sessions for all scopes...
2025-12-27 19:44:08.157 [info] Got 1 sessions for ...
2025-12-27 19:44:08.157 [info] Getting sessions for all scopes...
2025-12-27 19:44:08.157 [info] Got 1 sessions for ...
2025-12-27 19:44:08.157 [info] Getting sessions for all scopes...
2025-12-27 19:44:08.157 [info] Got 1 sessions for ...
2025-12-27 19:44:08.157 [info] Getting sessions for all scopes...
2025-12-27 19:44:08.157 [info] Got 1 sessions for ...
2025-12-27 19:44:08.157 [info] Getting sessions for all scopes...
2025-12-27 19:44:08.157 [info] Got 1 sessions for ...
2025-12-27 19:44:08.157 [info] Getting sessions for all scopes...
2025-12-27 19:44:08.157 [info] Got 1 sessions for ...
2025-12-27 19:44:08.157 [info] Getting sessions for all scopes...
2025-12-27 19:44:08.157 [info] Got 1 sessions for ...
2025-12-27 19:44:08.157 [info] Getting sessions for all scopes...
2025-12-27 19:44:08.157 [info] Got 1 sessions for ...
2025-12-27 19:44:08.157 [info] Getting sessions for all scopes...
2025-12-27 19:44:08.157 [info] Got 1 sessions for ...
2025-12-27 19:44:08.157 [info] Getting sessions for all scopes...
2025-12-27 19:44:08.157 [info] Got 1 sessions for ...
2025-12-27 19:44:08.157 [info] Getting sessions for all scopes...
2025-12-27 19:44:08.157 [info] Got 1 sessions for ...
2025-12-27 19:44:08.157 [info] Getting sessions for all scopes...
2025-12-27 19:44:08.157 [info] Got 1 sessions for ...
2025-12-27 19:44:08.157 [info] Getting sessions for all scopes...
2025-12-27 19:44:08.157 [info] Got 1 sessions for ...
2025-12-27 19:44:08.663 [info] Getting sessions for read:user,repo,user:email,workflow...
2025-12-27 19:44:08.663 [info] Got 0 sessions for read:user,repo,user:email,workflow...
2025-12-27 19:44:09.947 [info] Getting sessions for all scopes...
2025-12-27 19:44:09.947 [info] Got 1 sessions for ...
