[INFO 10:27:57 PM] miguelsolorio.symbols activated
[INFO 10:27:57 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:27:57 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:27:57 PM] symbols.files.associations changed, updating to undefined
[INFO 10:27:59 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:27:59 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:27:59 PM] symbols.files.associations changed, updating to undefined
[INFO 10:28:18 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:28:18 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:28:18 PM] symbols.files.associations changed, updating to undefined
[INFO 10:28:20 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:28:20 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:28:20 PM] symbols.files.associations changed, updating to undefined
[INFO 10:28:21 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:28:21 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:28:21 PM] symbols.files.associations changed, updating to undefined
[INFO 10:28:21 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:28:21 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:28:21 PM] symbols.files.associations changed, updating to undefined
[INFO 10:28:23 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:28:23 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:28:23 PM] symbols.files.associations changed, updating to undefined
[INFO 10:28:24 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:28:24 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:28:24 PM] symbols.files.associations changed, updating to undefined
[INFO 10:33:41 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:33:41 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:33:41 PM] symbols.files.associations changed, updating to undefined
[INFO 10:33:42 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:33:42 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:33:42 PM] symbols.files.associations changed, updating to undefined
